Client,Style,Fabric usage,pcs/carton,volume,weight,material
RITEMATE,RM301EWS,,25,0.0528,10,100% Cotton Drill 90x46 / 14sx7s in 310gsm
RITEMATE,RM8080,,20,0.0624,15,"100% Cotton Twill 20X20 108X56 190gsm, soft treatment, garment wash"
RITEMATE,RM4040,,25,0.0624,13,"100% Cotton Twill 20X20 108X56 190gsm, soft treatment, garment wash"
RITEMATE,RM2020,,25,0.0624,13,"100% Cotton Twill 20X20 108X56 190gsm, soft treatment, garment wash"
RITEMATE,RMPC016,,20,0.06912,16,"99% Cotton, 1% Elastane, about 11.3OZ before wash"
RITEMATE,RM110SD,,20,0.06912,16,"98% Cotton / 2% Spandex 450gsm after washing, 78x50/7X10+70D"
RITEMATE,RM220LSD,,20,0.06912,10,"98% Cotton / 2% Spandex 450gsm after washing, 78x50/7X10+70D"
RITEMATE,RM1008M,,10,0.03774,15,100% Cotton Drill 90x46 / 14sx7s in 310gsm
RITEMATE,RM908CR,,10,0.03774,15,100% Cotton Drill 90x46 / 14sx7s in 310gsm
RITEMATE,RM909AR,,10,0.0648,12,100% Cotton Drill 90x46 / 14sx7s in 310gsm
GOLDERS,GB402EWS,,40,0.0528,7,100% Cotton Drill 90x46 / 14sx7s in 310gsm
GOLDERS,GB403EWS,,40,0.0528,7,100% Cotton Drill 90x46 / 14sx7s in 310gsm
GOLDERS,GB302EWS,,30,0.0528,8.5,100% Cotton Drill 90x46 / 14sx7s in 310gsm
GOLDERS,GB303EWS,,30,0.0528,8.5,100% Cotton Drill 90x46 / 14sx7s in 310gsm
GOLDERS,GS301M,,25,0.0528,10,100% Cotton Drill 90x46 / 14sx7s in 310gsm
GOLDERS,GS301W,,25,0.0528,10,100% Cotton Drill 150gsm
GOLDERS,GB601S,,40,0.041125,12,100% Cotton Twill 130x70 / 32sx32s 150 - 155gsm
GOLDERS,GB602S,,40,0.041125,12,100% Cotton Twill 130x70 / 32sx32s 150 - 155gsm
McAullif,MCAB01,,40,0.051408,8.5,"50% Cotton Back, 50% Cool Dry Polyester Face, 180 gsm, Hydrophilic finish"
McAullif,MCAM01,,30,0.051408,8.5,"50% Cotton Back, 50% Cool Dry Polyester Face, 180 gsm, Hydrophilic finish"
McAullif,MCAB03,,50,0.06,13,"100% polyester Warp Knit, 145gsm Hydrophilic finish "
McAullif,MCAM03,,40,0.06,13,"100% polyester Warp Knit, 145gsm Hydrophilic finish "
RITEMATE,RM200CF,,24,0.041125,,"100% Cotton Twill 130x70 / 30sx30s 150 - 155gsm, Silicon Wash"
RITEMATE,RM200CFS,,28,0.041125,,"100% Cotton Twill 130x70 / 30sx30s 150 - 155gsm, Silicon Wash"
RITEMATE,RM300CF,,26,0.041125,,"100% Cotton Twill 130x70 / 30sx30s 150 - 155gsm, Silicon Wash"
RITEMATE,RM400CF,,40,0.041125,,"100% Cotton Twill 130x70 / 30sx30s 150 - 155gsm, Silicon Wash"
RITEMATE,RM500BT,,24,0.041125,,"100% Cotton Twill 130x70 / 30sx30s 150 - 155gsm, Silicon Wash"
